channel,start_i,start_j,trend_corr,residual_corr
CZE_LAN_Cbe_Jt_16,15948,16012,-0.5915248611898672,0.04962605595934877
CZE_LAN_Cbe_Jt_16,15948,16076,0.9080697624751554,0.08549498208453019
CZE_LAN_Cbe_Jt_16,15948,16140,-0.3651944599417456,0.06014766118269752
CZE_LAN_Cbe_Jt_16,15948,16204,0.6984424935012522,-0.36364342849020526
CZE_LAN_Cbe_Jt_16,15948,16268,-0.1298671726584096,0.052544403133234184
CZE_LAN_Cbe_Jt_16,15948,16332,0.18349544780728858,-0.28175998715111644
CZE_LAN_Cbe_Jt_16,15948,16396,0.8940042233067732,0.024214057609521864
CZE_LAN_Cbe_Jt_16,15948,16460,-0.7666899509035349,-0.08448326033884652
CZE_LAN_Cbe_Jt_16,15948,16524,0.8650603434709903,0.2291017303439772
CZE_LAN_Cbe_Jt_16,15948,16588,-0.4540831879762175,0.027377913924156387
CZE_LAN_Cbe_Jt_16,15948,16652,0.9220866965801248,0.23455636969321125
CZE_LAN_Cbe_Jt_16,15948,16716,-0.36411451142668677,0.06302077176171668
CZE_LAN_Cbe_Jt_16,15948,16780,0.6285521509157952,-0.11118680541632207
CZE_LAN_Cbe_Jt_16,15948,16844,-0.09373175211147465,-0.056206457310015494
CZE_LAN_Cbe_Jt_16,15948,16908,0.046006904831040404,-0.28838828808309774
CZE_LAN_Cbe_Jt_16,15948,16972,0.9472750265517142,0.11474561516378137
CZE_LAN_Cbe_Jt_16,15948,17036,-0.7518211814605074,-0.07637042341981429
CZE_LAN_Cbe_Jt_16,15948,17100,0.9498341221151432,0.2922192069482442
CZE_LAN_Cbe_Jt_16,15948,17164,-0.49096817616043653,0.04840371764703962
CZE_LAN_Cbe_Jt_16,15948,17228,0.8965361648008155,0.3753871157854041
CZE_LAN_Cbe_Jt_16,15948,17292,-0.30777657018238613,0.06331234745892855
CZE_LAN_Cbe_Jt_16,15948,17356,0.7416292696065462,0.18470811586206967
CZE_LAN_Cbe_Jt_16,15948,17420,-0.0493122122272337,0.041087473592139837
CZE_LAN_Cbe_Jt_16,15948,17484,-0.02023131920311501,-0.5114931554876475
CZE_LAN_Cbe_Jt_16,15948,17548,0.7248214983784328,-0.0863134350781049
CZE_LAN_Cbe_Jt_16,15948,17612,-0.45205885419041697,0.029241783504737957
