channel,start_i,start_j,trend_corr,residual_corr
0,6071,6135,-0.640876475670123,0.06635116699529725
0,6071,6199,0.10419819875596471,0.021079644341103328
0,6071,6263,-0.8586036028895179,-0.18130038231658333
0,6071,6327,-0.4169757509077598,-0.02023418192564689
0,6071,6391,0.3611652643653624,0.21175820011997576
0,6071,6455,-0.7307555832716248,0.31182469681349545
0,6071,6519,0.7057030104946527,-0.014885719465913643
0,6071,6583,0.39516776842786683,-0.09742238175870616
0,6071,6647,0.6477211982121486,0.06879531979050502
0,6071,6711,-0.718946765263342,0.23362624076032504
0,6071,6775,-0.5348465739104123,0.12447839838110171
0,6071,6839,-0.7762037205804483,0.1664139384610439
0,6071,6903,-0.7038519709041122,-0.0849543949173217
0,6071,6967,-0.6283812464105608,0.04661287914010535
0,6071,7031,-0.6654188640534469,-0.06131991973675873
0,6071,7095,0.7636844752118569,0.10383602250982177
0,6071,7159,0.5316192994424385,0.005966459149978971
0,6071,7223,0.3371088886604281,0.16728090771011617
0,6071,7287,0.7420673091241692,-0.1725077135767574
0,6071,7351,0.6705270164159567,0.05148903424121964
0,6071,7415,0.16244755719276063,0.05868943882423502
0,6071,7479,0.6490079138049513,0.25702738145683796
0,6135,6199,0.43088073993603127,-0.06280154074167606
0,6135,6263,0.7844195962427645,0.02596528368815636
0,6135,6327,-0.10820829382259493,-0.0061502057165863985
0,6135,6391,-0.08727061617052227,0.045254072283608414
0,6135,6455,0.6100059840938947,0.08527586466340685
0,6135,6519,-0.6229856842072998,0.09664684579408836
0,6135,6583,0.11933947979372043,0.20152759497241823
0,6135,6647,-0.0703893804946724,-0.1932624407780682
0,6135,6711,0.9102746921373736,0.18612882165655167
0,6135,6775,0.8970617106116667,0.14365785402397904
0,6135,6839,0.8256391414225209,0.03973029032565983
0,6135,6903,0.44065002277621323,-0.06735262530107664
0,6135,6967,0.8702183642557988,-0.023678599186337402
0,6135,7031,0.5149885797042111,-0.011112887344072285
0,6135,7095,-0.7028028046449468,0.058353744145507765
0,6135,7159,-0.638109854540143,0.25010497466731063
0,6135,7223,-0.9106341616079158,-0.32249637279828763
0,6135,7287,-0.17849952087951157,0.24094476088070155
0,6135,7351,-0.9792861946336443,-0.06780511019241664
0,6135,7415,-0.11237232685210896,0.16907658514499166
0,6135,7479,0.1325914226986878,-0.071222465066596
0,6199,6263,-0.01753114451214829,0.18246542372137975
0,6199,6327,-0.388892464192662,-0.1125658564608272
0,6199,6391,0.684734930927376,-0.23113379270634776
0,6199,6455,-0.37247839758588663,-0.02982227123277865
0,6199,6519,0.19739829039264176,-0.49715238962924213
0,6199,6583,0.7316409649361098,0.19451837188889967
0,6199,6647,0.7067023144151131,-0.036946400524858536
0,6199,6711,0.44093126293627716,-0.5009297326693551
0,6199,6775,0.43180546644363654,0.08141244107752284
0,6199,6839,0.33325068327556095,-0.039154896959057495
0,6199,6903,-0.14612879820330754,-0.022179108637356282
0,6199,6967,0.36501001882372286,-0.3554946013927669
0,6199,7031,-0.44900795949082467,-0.19822238081526533
0,6199,7095,-0.3359301194023639,-0.1305775692905503
0,6199,7159,0.29621772287657466,-0.1247066355858319
0,6199,7223,-0.553857342899947,0.004283333565695469
0,6199,7287,0.41357010438579916,-0.06024080133031706
0,6199,7351,-0.309643038310189,-0.030505068127371027
0,6199,7415,0.42267685175735925,0.13145908570883857
0,6199,7479,0.5653393973905128,-0.07543816568774861
0,6263,6327,0.07520158763066112,0.18750821529009218
0,6263,6391,-0.19428827713208993,-0.047165211670126585
0,6263,6455,0.8960593762438942,-0.19381361670347835
0,6263,6519,-0.916302247317546,-0.1317234139693093
0,6263,6583,-0.12080845095722045,0.13701919716031985
0,6263,6647,-0.5916665952385025,-0.0832900680092923
0,6263,6711,0.8696138480955967,-0.3498346307086638
0,6263,6775,0.8265527595848152,0.3970324390066334
0,6263,6839,0.9088402483700061,-0.01581357421778505
0,6263,6903,0.7171638051226854,0.40817527287766125
0,6263,6967,0.5658379636888569,-0.17183257056604256
